codigo_ine,municipio,provincia
13078,Socuéllamos,Ciudad Real
13080,Solana del Pino,Ciudad Real
13079,"Solana, La",Ciudad Real
13081,Terrinches,Ciudad Real
13082,Tomelloso,Ciudad Real
13083,Torralba de Calatrava,Ciudad Real
13084,Torre de Juan Abad,Ciudad Real
13085,Torrenueva,Ciudad Real
13086,Valdemanco del Esteras,Ciudad Real
13087,Valdepeñas,Ciudad Real
13088,Valenzuela de Calatrava,Ciudad Real
13089,Villahermosa,Ciudad Real
13090,Villamanrique,Ciudad Real
13091,Villamayor de Calatrava,Ciudad Real
13092,Villanueva de la Fuente,Ciudad Real
13093,Villanueva de los Infantes,Ciudad Real
13094,Villanueva de San Carlos,Ciudad Real
13095,Villar del Pozo,Ciudad Real
13096,Villarrubia de los Ojos,Ciudad Real
13097,Villarta de San Juan,Ciudad Real
13098,Viso del Marqués,Ciudad Real
14001,Adamuz,Córdoba
14002,Aguilar de la Frontera,Córdoba
14003,Alcaracejos,Córdoba
14004,Almedinilla,Córdoba
14005,Almodóvar del Río,Córdoba
14006,Añora,Córdoba
14007,Baena,Córdoba
14008,Belalcázar,Córdoba
14009,Belmez,Córdoba
14010,Benamejí,Córdoba
14011,"Blázquez, Los",Córdoba
14012,Bujalance,Córdoba
14013,Cabra,Córdoba
14014,Cañete de las Torres,Córdoba
14015,Carcabuey,Córdoba
14016,Cardeña,Córdoba
14017,"Carlota, La",Córdoba
14018,"Carpio, El",Córdoba
14019,Castro del Río,Córdoba
14020,Conquista,Córdoba
14021,Córdoba,Córdoba
14022,Doña Mencía,Córdoba
14023,Dos Torres,Córdoba
14024,Encinas Reales,Córdoba
14025,Espejo,Córdoba
14026,Espiel,Córdoba
14027,Fernán-Núñez,Córdoba
14901,Fuente Carreteros,Córdoba
14028,Fuente la Lancha,Córdoba
14029,Fuente Obejuna,Córdoba
14030,Fuente Palmera,Córdoba
14031,Fuente-Tójar,Córdoba
14032,"Granjuela, La",Córdoba
14033,Guadalcázar,Córdoba
14902,"Guijarrosa, La",Córdoba
14034,"Guijo, El",Córdoba
14035,Hinojosa del Duque,Córdoba
14036,Hornachuelos,Córdoba
14037,Iznájar,Córdoba
14038,Lucena,Córdoba
14039,Luque,Córdoba
14040,Montalbán de Córdoba,Córdoba
14041,Montemayor,Córdoba
14042,Montilla,Córdoba
14043,Montoro,Córdoba
14044,Monturque,Córdoba
14045,Moriles,Córdoba
14046,Nueva Carteya,Córdoba
14047,Obejo,Córdoba
14048,Palenciana,Córdoba
14049,Palma del Río,Córdoba
14050,Pedro Abad,Córdoba
14051,Pedroche,Córdoba
14052,Peñarroya-Pueblonuevo,Córdoba
14053,Posadas,Córdoba
14054,Pozoblanco,Córdoba
14055,Priego de Córdoba,Córdoba
14056,Puente Genil,Córdoba
14057,"Rambla, La",Córdoba
14058,Rute,Córdoba
14059,San Sebastián de los Ballesteros,Córdoba
14061,Santa Eufemia,Córdoba
14060,Santaella,Córdoba
14062,Torrecampo,Córdoba
14063,Valenzuela,Córdoba
14064,Valsequillo,Córdoba
14065,"Victoria, La",Córdoba
14066,Villa del Río,Córdoba
14067,Villafranca de Córdoba,Córdoba
14068,Villaharta,Córdoba
14069,Villanueva de Córdoba,Córdoba
14070,Villanueva del Duque,Córdoba
14071,Villanueva del Rey,Córdoba
14072,Villaralto,Córdoba
14073,Villaviciosa de Córdoba,Córdoba
14074,"Viso, El",Córdoba
14075,Zuheros,Córdoba
15001,Abegondo,A Coruña
15002,Ames,A Coruña
15003,Aranga,A Coruña
15004,Ares,A Coruña
15005,Arteixo,A Coruña
15006,Arzúa,A Coruña
15007,"Baña, A",A Coruña
15008,Bergondo,A Coruña
15009,Betanzos,A Coruña
15010,Boimorto,A Coruña
15011,Boiro,A Coruña
15012,Boqueixón,A Coruña
15013,Brión,A Coruña
15014,Cabana de Bergantiños,A Coruña
15015,Cabanas,A Coruña
15016,Camariñas,A Coruña
15017,Cambre,A Coruña
15018,"Capela, A",A Coruña
15019,Carballo,A Coruña
15901,Cariño,A Coruña
15020,Carnota,A Coruña
15021,Carral,A Coruña
15022,Cedeira,A Coruña
15023,Cee,A Coruña
15024,Cerceda,A Coruña
15025,Cerdido,A Coruña
15027,Coirós,A Coruña
15028,Corcubión,A Coruña
15029,Coristanco,A Coruña
15030,"Coruña, A",A Coruña
15031,Culleredo,A Coruña
15032,Curtis,A Coruña
15033,Dodro,A Coruña
15034,Dumbría,A Coruña
15035,Fene,A Coruña
15036,Ferrol,A Coruña
15037,Fisterra,A Coruña
15038,Frades,A Coruña
15039,Irixoa,A Coruña
15041,"Laracha, A",A Coruña
15040,Laxe,A Coruña
15042,Lousame,A Coruña
15043,Malpica de Bergantiños,A Coruña
15044,Mañón,A Coruña
15045,Mazaricos,A Coruña
15046,Melide,A Coruña
15047,Mesía,A Coruña
15048,Miño,A Coruña
15049,Moeche,A Coruña
15050,Monfero,A Coruña
15051,Mugardos,A Coruña
15053,Muros,A Coruña
15052,Muxía,A Coruña
15054,Narón,A Coruña
15055,Neda,A Coruña
15056,Negreira,A Coruña
15057,Noia,A Coruña
15058,Oleiros,A Coruña
15059,Ordes,A Coruña
15060,Oroso,A Coruña
15061,Ortigueira,A Coruña
15062,Outes,A Coruña
15902,Oza-Cesuras,A Coruña
15064,Paderne,A Coruña
15065,Padrón,A Coruña
15066,"Pino, O",A Coruña
15067,"Pobra do Caramiñal, A",A Coruña
15068,Ponteceso,A Coruña
15069,Pontedeume,A Coruña
15070,"Pontes de García Rodríguez, As",A Coruña
15071,Porto do Son,A Coruña
15072,Rianxo,A Coruña
15073,Ribeira,A Coruña
15074,Rois,A Coruña
15075,Sada,A Coruña
15076,San Sadurniño,A Coruña
15077,Santa Comba,A Coruña
15078,Santiago de Compostela,A Coruña
15079,Santiso,A Coruña
15080,Sobrado,A Coruña
15081,"Somozas, As",A Coruña
15082,Teo,A Coruña
15083,Toques,A Coruña
15084,Tordoia,A Coruña
15085,Touro,A Coruña
15086,Trazo,A Coruña
15088,Val do Dubra,A Coruña
15087,Valdoviño,A Coruña
15089,Vedra,A Coruña
15091,Vilarmaior,A Coruña
15090,Vilasantar,A Coruña
15092,Vimianzo,A Coruña
15093,Zas,A Coruña
16001,Abia de la Obispalía,Cuenca
16002,"Acebrón, El",Cuenca
16003,Alarcón,Cuenca
16004,Albaladejo del Cuende,Cuenca
16005,Albalate de las Nogueras,Cuenca
16006,Albendea,Cuenca
16007,"Alberca de Záncara, La",Cuenca
16008,Alcalá de la Vega,Cuenca
16009,Alcantud,Cuenca
16010,Alcázar del Rey,Cuenca
16011,Alcohujate,Cuenca
16012,Alconchel de la Estrella,Cuenca
16013,Algarra,Cuenca
16014,Aliaguilla,Cuenca
16015,"Almarcha, La",Cuenca
16016,Almendros,Cuenca
16017,Almodóvar del Pinar,Cuenca
16018,Almonacid del Marquesado,Cuenca
16019,Altarejos,Cuenca
16020,Arandilla del Arroyo,Cuenca
16905,Arcas,Cuenca
16022,Arcos de la Sierra,Cuenca
16024,Arguisuelas,Cuenca
16025,Arrancacepas,Cuenca
16026,Atalaya del Cañavate,Cuenca
16027,Barajas de Melo,Cuenca
16029,Barchín del Hoyo,Cuenca
16030,Bascuñana de San Pedro,Cuenca
16031,Beamud,Cuenca
16032,Belinchón,Cuenca
16033,Belmonte,Cuenca
16034,Belmontejo,Cuenca
16035,Beteta,Cuenca
16036,Boniches,Cuenca
16038,Buciegas,Cuenca
16039,Buenache de Alarcón,Cuenca
16040,Buenache de la Sierra,Cuenca
16041,Buendía,Cuenca
16042,Campillo de Altobuey,Cuenca
16043,Campillos-Paravientos,Cuenca
16044,Campillos-Sierra,Cuenca
16901,Campos del Paraíso,Cuenca
16045,Canalejas del Arroyo,Cuenca
16046,Cañada del Hoyo,Cuenca
16047,Cañada Juncosa,Cuenca
16048,Cañamares,Cuenca
16049,"Cañavate, El",Cuenca
16050,Cañaveras,Cuenca
16051,Cañaveruelas,Cuenca
16052,Cañete,Cuenca
16053,Cañizares,Cuenca
16055,Carboneras de Guadazaón,Cuenca
16056,Cardenete,Cuenca
16057,Carrascosa,Cuenca
16058,Carrascosa de Haro,Cuenca
16060,Casas de Benítez,Cuenca
16061,Casas de Fernando Alonso,Cuenca
16062,Casas de Garcimolina,Cuenca
16063,Casas de Guijarro,Cuenca
16064,Casas de Haro,Cuenca
16065,Casas de los Pinos,Cuenca
16066,Casasimarro,Cuenca
16067,Castejón,Cuenca
16068,Castillejo de Iniesta,Cuenca
16070,Castillejo-Sierra,Cuenca
16072,Castillo de Garcimuñoz,Cuenca
16071,Castillo-Albaráñez,Cuenca
16073,Cervera del Llano,Cuenca
16023,Chillarón de Cuenca,Cuenca
16081,Chumillas,Cuenca
16074,"Cierva, La",Cuenca
16078,Cuenca,Cuenca
16079,Cueva del Hierro,Cuenca
16082,Enguídanos,Cuenca
16083,Fresneda de Altarejos,Cuenca
16084,Fresneda de la Sierra,Cuenca
16085,"Frontera, La",Cuenca
16086,Fuente de Pedro Naharro,Cuenca
16087,Fuentelespino de Haro,Cuenca
16088,Fuentelespino de Moya,Cuenca
16904,Fuentenava de Jábaga,Cuenca
16089,Fuentes,Cuenca
16091,Fuertescusa,Cuenca
16092,Gabaldón,Cuenca
16093,Garaballa,Cuenca
16094,Gascueña,Cuenca
16095,Graja de Campalbo,Cuenca
16096,Graja de Iniesta,Cuenca
16097,Henarejos,Cuenca
16098,"Herrumblar, El",Cuenca
16099,"Hinojosa, La",Cuenca
16100,"Hinojosos, Los",Cuenca
16101,"Hito, El",Cuenca
16102,Honrubia,Cuenca
16103,Hontanaya,Cuenca
16104,Hontecillas,Cuenca
16106,Horcajo de Santiago,Cuenca
16107,Huélamo,Cuenca
16108,Huelves,Cuenca
16109,Huérguina,Cuenca
16110,Huerta de la Obispalía,Cuenca
16111,Huerta del Marquesado,Cuenca
16112,Huete,Cuenca
16113,Iniesta,Cuenca
16115,Laguna del Marquesado,Cuenca
16116,Lagunaseca,Cuenca
16117,Landete,Cuenca
16118,Ledaña,Cuenca
16119,Leganiel,Cuenca
16121,"Majadas, Las",Cuenca
16122,Mariana,Cuenca
16123,Masegosa,Cuenca
16124,"Mesas, Las",Cuenca
16125,Minglanilla,Cuenca
16126,Mira,Cuenca
16128,Monreal del Llano,Cuenca
16129,Montalbanejo,Cuenca
16130,Montalbo,Cuenca
16131,Monteagudo de las Salinas,Cuenca
16132,Mota de Altarejos,Cuenca
16133,Mota del Cuervo,Cuenca
16134,Motilla del Palancar,Cuenca
16135,Moya,Cuenca
16137,Narboneta,Cuenca
16139,Olivares de Júcar,Cuenca
16140,Olmeda de la Cuesta,Cuenca
16141,Olmeda del Rey,Cuenca
16142,Olmedilla de Alarcón,Cuenca
16143,Olmedilla de Eliz,Cuenca
16145,Osa de la Vega,Cuenca
16146,Pajarón,Cuenca
16147,Pajaroncillo,Cuenca
16148,Palomares del Campo,Cuenca
16149,Palomera,Cuenca
16150,Paracuellos,Cuenca
16151,Paredes,Cuenca
16152,"Parra de las Vegas, La",Cuenca
16153,"Pedernoso, El",Cuenca
16154,"Pedroñeras, Las",Cuenca
16155,"Peral, El",Cuenca
16156,"Peraleja, La",Cuenca
16157,"Pesquera, La",Cuenca
16158,"Picazo, El",Cuenca
16159,Pinarejo,Cuenca
16160,Pineda de Gigüela,Cuenca
16161,Piqueras del Castillo,Cuenca
16162,Portalrubio de Guadamejud,Cuenca
16163,Portilla,Cuenca
16165,Poyatos,Cuenca
16166,Pozoamargo,Cuenca
16908,Pozorrubielos de la Mancha,Cuenca
16167,Pozorrubio de Santiago,Cuenca
16169,"Pozuelo, El",Cuenca
16170,Priego,Cuenca
16171,"Provencio, El",Cuenca
16172,Puebla de Almenara,Cuenca
16174,Puebla del Salvador,Cuenca
16175,Quintanar del Rey,Cuenca
16176,Rada de Haro,Cuenca
16177,Reíllo,Cuenca
16181,Rozalén del Monte,Cuenca
16185,Saceda-Trasierra,Cuenca
16186,Saelices,Cuenca
16187,Salinas del Manzano,Cuenca
16188,Salmeroncillos,Cuenca
16189,Salvacañete,Cuenca
16190,San Clemente,Cuenca
16191,San Lorenzo de la Parrilla,Cuenca
16192,San Martín de Boniches,Cuenca
16193,San Pedro Palmiches,Cuenca
16194,Santa Cruz de Moya,Cuenca
16196,Santa María de los Llanos,Cuenca
16195,Santa María del Campo Rus,Cuenca
16197,Santa María del Val,Cuenca
16198,Sisante,Cuenca
16199,Solera de Gabaldón,Cuenca
16909,Sotorribas,Cuenca
16202,Talayuelas,Cuenca
16203,Tarancón,Cuenca
16204,Tébar,Cuenca
16205,Tejadillos,Cuenca
16206,Tinajas,Cuenca
16209,Torralba,Cuenca
16211,Torrejoncillo del Rey,Cuenca
16212,Torrubia del Campo,Cuenca
16213,Torrubia del Castillo,Cuenca
16215,Tragacete,Cuenca
16216,Tresjuncos,Cuenca
16217,Tribaldos,Cuenca
16218,Uclés,Cuenca
16219,Uña,Cuenca
16906,"Valdecolmenas, Los",Cuenca
16224,Valdemeca,Cuenca
16225,Valdemorillo de la Sierra,Cuenca
16227,Valdemoro-Sierra,Cuenca
16228,Valdeolivas,Cuenca
16902,Valdetórtola,Cuenca
16903,"Valeras, Las",Cuenca
16231,Valhermoso de la Fuente,Cuenca
16173,"Valle de Altomira, El",Cuenca
16234,Valsalobre,Cuenca
16236,Valverde de Júcar,Cuenca
16237,Valverdejo,Cuenca
16238,Vara de Rey,Cuenca
16239,Vega del Codorno,Cuenca
16240,Vellisca,Cuenca
16242,Villaconejos de Trabaque,Cuenca
16243,Villaescusa de Haro,Cuenca
16244,Villagarcía del Llano,Cuenca
16245,Villalba de la Sierra,Cuenca
16246,Villalba del Rey,Cuenca
16247,Villalgordo del Marquesado,Cuenca
16248,Villalpardo,Cuenca
16249,Villamayor de Santiago,Cuenca
16250,Villanueva de Guadamejud,Cuenca
16251,Villanueva de la Jara,Cuenca
16253,Villar de Cañas,Cuenca
16254,Villar de Domingo García,Cuenca
16255,Villar de la Encina,Cuenca
16263,Villar de Olalla,Cuenca
16258,Villar del Humo,Cuenca
16259,Villar del Infantado,Cuenca
16910,Villar y Velasco,Cuenca
16264,Villarejo de Fuentes,Cuenca
16265,Villarejo de la Peñuela,Cuenca
16266,Villarejo-Periesteban,Cuenca
16269,Villares del Saz,Cuenca
16270,Villarrubio,Cuenca
16271,Villarta,Cuenca
16272,Villas de la Ventosa,Cuenca
16273,Villaverde y Pasaconsol,Cuenca
16274,Víllora,Cuenca
16275,Vindel,Cuenca
16276,Yémeda,Cuenca
16277,Zafra de Záncara,Cuenca
16278,Zafrilla,Cuenca
16279,Zarza de Tajo,Cuenca
16280,Zarzuela,Cuenca
17001,Agullana,Girona
17002,Aiguaviva,Girona
17003,Albanyà,Girona
17004,Albons,Girona
17006,Alp,Girona
17007,Amer,Girona
17008,Anglès,Girona
17009,Arbúcies,Girona
17010,Argelaguer,Girona
17011,"Armentera, L'",Girona
17012,Avinyonet de Puigventós,Girona
17015,Banyoles,Girona
17016,Bàscara,Girona
17013,Begur,Girona
17018,Bellcaire d'Empordà,Girona
17019,Besalú,Girona
17020,Bescanó,Girona
17021,Beuda,Girona
17022,"Bisbal d'Empordà, La",Girona
17234,Biure,Girona
17023,Blanes,Girona
17029,Boadella i les Escaules,Girona
17024,Bolvir,Girona
17025,Bordils,Girona
17026,Borrassà,Girona
17027,Breda,Girona
17028,Brunyola i Sant Martí Sapresa,Girona
17031,Cabanelles,Girona
17030,Cabanes,Girona
17032,Cadaqués,Girona
17033,Caldes de Malavella,Girona
17034,Calonge i Sant Antoni,Girona
17035,Camós,Girona
17036,Campdevànol,Girona
17037,Campelles,Girona
17038,Campllong,Girona
17039,Camprodon,Girona
17040,Canet d'Adri,Girona
17041,Cantallops,Girona
17042,Capmany,Girona
17044,Cassà de la Selva,Girona
17048,"Castell d'Aro, Platja d'Aro i s'Agaró",Girona
17046,Castellfollit de la Roca,Girona
17047,Castelló d'Empúries,Girona
17189,"Cellera de Ter, La",Girona
17049,Celrà,Girona
17050,Cervià de Ter,Girona
17051,Cistella,Girona
17054,Colera,Girona
17055,Colomers,Girona
17057,Corçà,Girona
17056,Cornellà del Terri,Girona
17058,Crespià,Girona
17901,"Cruïlles, Monells i Sant Sadurní de l'Heura",Girona
17060,Darnius,Girona
17061,Das,Girona
17062,"Escala, L'",Girona
17063,Espinelves,Girona
17064,Espolla,Girona
17065,Esponellà,Girona
17005,"Far d'Empordà, El",Girona
17066,Figueres,Girona
17067,Flaçà,Girona
17068,Foixà,Girona
17069,Fontanals de Cerdanya,Girona
17070,Fontanilles,Girona
17071,Fontcoberta,Girona
17902,Forallac,Girona
17073,Fornells de la Selva,Girona
17074,Fortià,Girona
17075,Garrigàs,Girona
17076,Garrigoles,Girona
17077,Garriguella,Girona
17078,Ger,Girona
17079,Girona,Girona
17080,Gombrèn,Girona
17081,Gualta,Girona
17082,Guils de Cerdanya,Girona
17083,Hostalric,Girona
17084,Isòvol,Girona
17085,Jafre,Girona
17086,"Jonquera, La",Girona
17087,Juià,Girona
17088,Lladó,Girona
17089,Llagostera,Girona
17090,Llambilles,Girona
17091,Llanars,Girona
17092,Llançà,Girona
17093,Llers,Girona
17094,Llívia,Girona
17095,Lloret de Mar,Girona
17096,"Llosses, Les",Girona
17102,Maçanet de Cabrenys,Girona
17103,Maçanet de la Selva,Girona
17097,Madremanya,Girona
17098,Maià de Montcal,Girona
17100,Masarac i Vilarnadal,Girona
17101,Massanes,Girona
17099,Meranges,Girona
17105,Mieres,Girona
17106,Mollet de Peralada,Girona
17107,Molló,Girona
17109,Montagut i Oix,Girona
17110,Mont-ras,Girona
17111,Navata,Girona
17112,Ogassa,Girona
17114,Olot,Girona
17115,Ordis,Girona
17116,Osor,Girona
17117,Palafrugell,Girona
17118,Palamós,Girona
17119,Palau de Santa Eulàlia,Girona
17121,Palau-sator,Girona
17120,Palau-saverdera,Girona
17123,Palol de Revardit,Girona
17124,Pals,Girona
17125,Pardines,Girona
17126,Parlavà,Girona
17128,Pau,Girona
17129,Pedret i Marzà,Girona
17130,"Pera, La",Girona
17132,Peralada,Girona
17133,"Planes d'Hostoles, Les",Girona
17134,Planoles,Girona
17135,Pont de Molins,Girona
17136,Pontós,Girona
17137,Porqueres,Girona
17140,"Port de la Selva, El",Girona
17138,Portbou,Girona
17139,"Preses, Les",Girona
17141,Puigcerdà,Girona
17142,Quart,Girona
17043,Queralbs,Girona
17143,Rabós,Girona
17144,Regencós,Girona
17145,Ribes de Freser,Girona
17146,Riells i Viabrea,Girona
17147,Ripoll,Girona
17148,Riudarenes,Girona
17149,Riudaura,Girona
17150,Riudellots de la Selva,Girona
17151,Riumors,Girona
17152,Roses,Girona
17153,Rupià,Girona
17154,Sales de Llierca,Girona
17155,Salt,Girona
17157,Sant Andreu Salou,Girona
17183,Sant Aniol de Finestres,Girona
17158,Sant Climent Sescebes,Girona
17159,Sant Feliu de Buixalleu,Girona
17160,Sant Feliu de Guíxols,Girona
17161,Sant Feliu de Pallerols,Girona
17162,Sant Ferriol,Girona
17163,Sant Gregori,Girona
17164,Sant Hilari Sacalm,Girona
17165,Sant Jaume de Llierca,Girona
17167,Sant Joan de les Abadesses,Girona
17168,Sant Joan de Mollet,Girona
17185,Sant Joan les Fonts,Girona
17166,Sant Jordi Desvalls,Girona
17169,Sant Julià de Ramis,Girona
17903,Sant Julià del Llor i Bonmatí,Girona
17171,Sant Llorenç de la Muga,Girona
17172,Sant Martí de Llémena,Girona
17173,Sant Martí Vell,Girona
17174,Sant Miquel de Campmajor,Girona
17175,Sant Miquel de Fluvià,Girona
17176,Sant Mori,Girona
17177,Sant Pau de Segúries,Girona
17178,Sant Pere Pescador,Girona
17180,Santa Coloma de Farners,Girona
17181,Santa Cristina d'Aro,Girona
17182,Santa Llogaia d'Àlguema,Girona
17184,Santa Pau,Girona
17186,Sarrià de Ter,Girona
17187,"Saus, Camallera i Llampaies",Girona
17188,"Selva de Mar, La",Girona
17190,Serinyà,Girona
17191,Serra de Daró,Girona
17192,Setcases,Girona
17193,Sils,Girona
17052,Siurana,Girona
17194,Susqueda,Girona
17195,"Tallada d'Empordà, La",Girona
17196,Terrades,Girona
17197,Torrent,Girona
17198,Torroella de Fluvià,Girona
17199,Torroella de Montgrí,Girona
17200,Tortellà,Girona
17201,Toses,Girona
17202,Tossa de Mar,Girona
17204,Ullà,Girona
17205,Ullastret,Girona
17203,Ultramort,Girona
17206,Urús,Girona
17014,"Vajol, La",Girona
17208,"Vall de Bianya, La",Girona
17207,"Vall d'en Bas, La",Girona
17170,Vallfogona de Ripollès,Girona
17209,Vall-llobrega,Girona
17210,Ventalló,Girona
17211,Verges,Girona
17212,Vidrà,Girona
17213,Vidreres,Girona
17214,Vilabertran,Girona
17215,Vilablareix,Girona
17217,Viladamat,Girona
17216,Viladasens,Girona
17218,Vilademuls,Girona
17220,Viladrau,Girona
17221,Vilafant,Girona
17223,Vilajuïga,Girona
17224,Vilallonga de Ter,Girona
17225,Vilamacolum,Girona
17226,Vilamalla,Girona
17227,Vilamaniscle,Girona
17228,Vilanant,Girona
17230,Vila-sacra,Girona
17222,Vilaür,Girona
17233,Vilobí d'Onyar,Girona
17232,Vilopriu,Girona
18001,Agrón,Granada
18002,Alamedilla,Granada
18003,Albolote,Granada
18004,Albondón,Granada
18005,Albuñán,Granada
18006,Albuñol,Granada
18007,Albuñuelas,Granada
18010,Aldeire,Granada
18011,Alfacar,Granada
18012,Algarinejo,Granada
18013,Alhama de Granada,Granada
18014,Alhendín,Granada
18015,Alicún de Ortega,Granada
18016,Almegíjar,Granada
18017,Almuñécar,Granada
18904,Alpujarra de la Sierra,Granada
18018,Alquife,Granada
18020,Arenas del Rey,Granada
18021,Armilla,Granada
18022,Atarfe,Granada
18023,Baza,Granada
18024,Beas de Granada,Granada
18025,Beas de Guadix,Granada
18027,Benalúa,Granada
18028,Benalúa de las Villas,Granada
18029,Benamaurel,Granada
18030,Bérchules,Granada
18032,Bubión,Granada
18033,Busquístar,Granada
18034,Cacín,Granada
18035,Cádiar,Granada
18036,Cájar,Granada
18114,"Calahorra, La",Granada
18037,Calicasas,Granada
18038,Campotéjar,Granada
18039,Caniles,Granada
18040,Cáñar,Granada
18042,Capileira,Granada
18043,Carataunas,Granada
18044,Cástaras,Granada
18045,Castilléjar,Granada
18046,Castril,Granada
18047,Cenes de la Vega,Granada
18059,Chauchina,Granada
18061,Chimeneas,Granada
18062,Churriana de la Vega,Granada
18048,Cijuela,Granada
18049,Cogollos de Guadix,Granada
18050,Cogollos de la Vega,Granada
18051,Colomera,Granada
18053,Cortes de Baza,Granada
18054,Cortes y Graena,Granada
18912,Cuevas del Campo,Granada
18056,Cúllar,Granada
18057,Cúllar Vega,Granada
18063,Darro,Granada
18064,Dehesas de Guadix,Granada
18065,Dehesas Viejas,Granada
18066,Deifontes,Granada
18067,Diezma,Granada
18068,Dílar,Granada
18069,Dólar,Granada
18915,Domingo Pérez de Granada,Granada
18070,Dúdar,Granada
18071,Dúrcal,Granada
18072,Escúzar,Granada
18074,Ferreira,Granada
18076,Fonelas,Granada
18077,Fornes,Granada
18078,Freila,Granada
18079,Fuente Vaqueros,Granada
18905,"Gabias, Las",Granada
18082,Galera,Granada
18083,Gobernador,Granada
18084,Gójar,Granada
18085,Gor,Granada
18086,Gorafe,Granada
18087,Granada,Granada
18088,Guadahortuna,Granada
18089,Guadix,Granada
18906,"Guájares, Los",Granada
18093,Gualchos,Granada
18094,Güéjar Sierra,Granada
18095,Güevéjar,Granada
18096,Huélago,Granada
18097,Huéneja,Granada
18098,Huéscar,Granada
18099,Huétor de Santillán,Granada
18100,Huétor Tájar,Granada
18101,Huétor Vega,Granada
18102,Íllora,Granada
18103,Ítrabo,Granada
18105,Iznalloz,Granada
18106,Játar,Granada
18107,Jayena,Granada
18108,Jérez del Marquesado,Granada
18109,Jete,Granada
18111,Jun,Granada
18112,Juviles,Granada
18115,Láchar,Granada
18116,Lanjarón,Granada
18117,Lanteira,Granada
18119,Lecrín,Granada
18120,Lentegí,Granada
18121,Lobras,Granada
18122,Loja,Granada
18123,Lugros,Granada
18124,Lújar,Granada
18126,"Malahá, La",Granada
18127,Maracena,Granada
18128,Marchal,Granada
18132,Moclín,Granada
18133,Molvízar,Granada
18134,Monachil,Granada
18135,Montefrío,Granada
18136,Montejícar,Granada
18137,Montillana,Granada
18138,Moraleda de Zafayona,Granada
18909,Morelábor,Granada
18140,Motril,Granada
18141,Murtas,Granada
18903,Nevada,Granada
18143,Nigüelas,Granada
18144,Nívar,Granada
18145,Ogíjares,Granada
18146,Orce,Granada
18147,Órgiva,Granada
18148,Otívar,Granada
18150,Padul,Granada
18151,Pampaneira,Granada
18152,Pedro Martínez,Granada
18153,Peligros,Granada
18154,"Peza, La",Granada
18910,"Pinar, El",Granada
18157,Pinos Genil,Granada
18158,Pinos Puente,Granada
18159,Píñar,Granada
18161,Polícar,Granada
18162,Polopos,Granada
18163,Pórtugos,Granada
18164,Puebla de Don Fadrique,Granada
18165,Pulianas,Granada
18167,Purullena,Granada
18168,Quéntar,Granada
18170,Rubite,Granada
18171,Salar,Granada
18173,Salobreña,Granada
18174,Santa Cruz del Comercio,Granada
18175,Santa Fe,Granada
18176,Soportújar,Granada
18177,Sorvilán,Granada
18901,"Taha, La",Granada
18178,Torre-Cardela,Granada
18916,Torrenueva Costa,Granada
18179,Torvizcón,Granada
18180,Trevélez,Granada
18181,Turón,Granada
18182,Ugíjar,Granada
18914,Valderrubio,Granada
18907,Valle del Zalabí,Granada
18902,"Valle, El",Granada
18183,Válor,Granada
18911,Vegas del Genil,Granada
18184,Vélez de Benaudalla,Granada
18185,Ventas de Huelma,Granada
18149,Villa de Otura,Granada
18908,Villamena,Granada
18187,Villanueva de las Torres,Granada
18188,Villanueva Mesía,Granada
18189,Víznar,Granada
18192,Zafarraya,Granada
18913,Zagra,Granada
18193,"Zubia, La",Granada
18194,Zújar,Granada
19001,Abánades,Guadalajara
19002,Ablanque,Guadalajara
19003,Adobes,Guadalajara
19004,Alaminos,Guadalajara
19005,Alarilla,Guadalajara
19006,Albalate de Zorita,Guadalajara
19007,Albares,Guadalajara
19008,Albendiego,Guadalajara
19009,Alcocer,Guadalajara
19010,Alcolea de las Peñas,Guadalajara
19011,Alcolea del Pinar,Guadalajara
19013,Alcoroches,Guadalajara
19015,Aldeanueva de Guadalajara,Guadalajara
19016,Algar de Mesa,Guadalajara
19017,Algora,Guadalajara
19018,Alhóndiga,Guadalajara
19019,Alique,Guadalajara
19020,Almadrones,Guadalajara
19021,Almoguera,Guadalajara
19022,Almonacid de Zorita,Guadalajara
19023,Alocén,Guadalajara
19024,Alovera,Guadalajara
19027,Alustante,Guadalajara
19031,Angón,Guadalajara
19032,Anguita,Guadalajara
19033,Anquela del Ducado,Guadalajara
19034,Anquela del Pedregal,Guadalajara
19036,Aranzueque,Guadalajara
19037,Arbancón,Guadalajara
19038,Arbeteta,Guadalajara
19039,Argecilla,Guadalajara
19040,Armallones,Guadalajara
19041,Armuña de Tajuña,Guadalajara
19042,Arroyo de las Fraguas,Guadalajara
19043,Atanzón,Guadalajara
19044,Atienza,Guadalajara
19045,Auñón,Guadalajara
19046,Azuqueca de Henares,Guadalajara
19047,Baides,Guadalajara
19048,Baños de Tajo,Guadalajara
19049,Bañuelos,Guadalajara
19050,Barriopedro,Guadalajara
19051,Berninches,Guadalajara
19052,"Bodera, La",Guadalajara
19053,Brihuega,Guadalajara
19054,Budia,Guadalajara
19055,Bujalaro,Guadalajara
19057,Bustares,Guadalajara
19058,Cabanillas del Campo,Guadalajara
19059,Campillo de Dueñas,Guadalajara
19060,Campillo de Ranas,Guadalajara
19061,Campisábalos,Guadalajara
19064,Canredondo,Guadalajara
